country,city,lat,lon,mentions
México,Paraguay,-25.3032613,-57.6432977,89
México,Sierra,17.980991,-102.2172376,89
México,Soriana,25.7234166,-100.1939663,88
México,Huejutla,21.1433803,-98.3883787,88
México,Colorado,27.1990022,-107.9352913,88
México,Feria De León,25.7818702,-100.1816345,87
México,San Francisco Del Rincón,20.9237028,-101.7985201,87
México,La Coruña,25.730602,-100.3499016,87
México,Vía Atlixcáyotl,19.012543,-98.2586961,87
México,Villahermosa,17.9884657,-92.9366326,86
México,Periférico Ecológico,18.9923212,-98.2486075,86
México,Poder Judicial Federal,18.0027497,-92.950349,86
México,Burgos,24.9258211,-98.8581432,86
México,Popocatépetl,19.0234051,-98.6234366,85
México,Ixmiquilpan,20.481944,-99.218056,85
México,Noruega,25.8287937,-97.5552267,84
México,Coronango,19.1367048,-98.2918774,84
México,Ciudad Real,22.2021033,-100.9539489,84
México,Gobierno Del Estado De México,19.289578,-99.6730559,84
México,Ixtapaluca,19.32929,-98.8082745,84
México,Manchester City,-43.5319027,172.6394646,84
México,Ensenada,31.8658887,-116.602983,83
México,Estadio Cuauhtémoc,19.0780308,-98.1643653,83
México,Estado De México.-,19.4839446,-99.6899716,82
México,Sevilla,19.4219541,-99.1706287,81
México,Falta,14.9165767,-92.3763704,81
México,Mar Caribe,25.4779052,-97.7922249,80
México,Filipinas,15.0643509,120.720544,80
México,Islandia,25.6975176,-100.3665063,80
México,San Miguel,19.314444,-97.707778,80
México,Costa Chica,15.8714925,-97.0798592,80
México,Polonia,20.6677079,-105.2106956,79
México,Méx,19.4839446,-99.6899716,79
México,Santa Catarina,25.6745052,-100.4616371,79
México,Acámbaro,20.0708476,-100.7447445,78
México,Fresnillo,23.1811278,-102.8729073,78
México,Dos Bocas,18.4113907,-95.7074161,78
México,Puerto Escondido,15.8693331,-97.0726428,77
México,Del Norte,31.6907979,-106.4253215,77
México,Palacio De Los Deportes,19.4053099,-99.0996762,77
México,Nuevo Casas Grandes,30.506296,-107.6654256,77
México,Los Cabos,21.166121,-100.936442,77
México,Boston,25.7315212,-100.3166862,77
México,Leo,20.0220531,-99.2477703,77
México,Altas Montañas,18.849276,-97.1069848,77
México,Nogales,31.3285057,-110.9450472,77
México,Indonesia,25.7003807,-100.1170735,77
México,Escorpio,32.4887917,-117.057452,76
México,San Pedro,26.1249273,-102.7745628,76
México,Atlanta,31.6218929,-106.3853275,75
México,Brooklyn,31.6986671,-106.3687524,75
México,Occidente,25.6587499,-100.3259921,75
México,Zona Metropolitana Del Valle De México,19.5018295,-99.0661917,74
México,Cisjordania,31.8955527,35.2025914,74
México,Conafor,19.6880066,-103.4570714,74
México,Nuevo Laredo,27.479303,-99.5221081,74
México,Poniente,25.6529957,-100.411199,73
México,Tlajomulco,20.4737273,-103.4469713,73
México,Guelaguetza,17.0779967,-96.7695702,73
México,Sol,25.6374097,-100.1498622,73
México,La Casa Blanca,24.6133186,-101.3741989,73
México,Tixtla,23.6365742,-97.8350337,73
México,Alaska,25.6285215,-100.283742,72
México,Manhattan,25.6477137,-100.284359,72
